epoch,training/train_loss_mean,evaluation/eval_return,time/total
0,0.8488080276768568,49.3,1404.05836892128
1,0.6793569968181962,59.8,2864.404861688614
2,0.48912413500495994,39.7,4255.194039344788
3,0.33468666847574796,54.3,5804.244936466217
4,0.2402157893660315,53.8,7567.62459230423
5,0.20443260437297964,94.5,9511.872469186783
6,0.18684862555567933,86.8,11570.221570014954
7,0.1806705391918166,62.5,14988.020434379578
8,0.2018542136761585,60.1,16606.081741333008
9,0.22235035432975295,59.0,18443.646382808685
